Title,description,image_link,Link,ID,price,Availability
Pastel Glitter Candles,<p>There is only one way to make rainbow candles more fun: Glitter! These colorful candles will bring sparkle and ensure your party is lit. Includes 12 candles.</p><p>&nbsp;</p><p>Includes 12 candles.</p>,https://static.wixstatic.com/media/79430e_9695c4ff01df43ba9a5b803d93f0b8a5~mv2.jpeg,https://www.sugargirleeco.com/product-page/pastel-glitter-candles,CAN-MUL-003,8,In Stock
Rainbow Glitter Candles,<p>No one wants to blow out boring candles. The varying shades of pink on these fun candles get an added pop with glitter.</p><p>&nbsp;</p><p>Includes 12 candles.</p>,https://static.wixstatic.com/media/79430e_206ebd8270f34076ab54e6b2d410aa67~mv2.jpeg,https://www.sugargirleeco.com/product-page/rainbow-glitter-candles,CAN-MUL-002,8,In Stock
Pink Star Banner - Light Pink Sparkles,"<p>Our hand-pressed Artisan Banners are cut from high quality, glitter fabric and includes thick glitter cord. Handmade with happiness!</p><p>&nbsp;</p><p>• 2.5 x 2.4""</p><p>• 6' cord&nbsp;</p><p>&nbsp;</p><p>Studio Pep</p>",https://static.wixstatic.com/media/79430e_c6b524904045468b8054243ba6be63e1~mv2.jpeg,https://www.sugargirleeco.com/product-page/pink-star-banner-light-pink-sparkles,AB-03-ST,15,In Stock
First Day of School Pencil Confetti Popper,"<p>Let's celebrate the first day of school with our new Pencil Poppers!</p><p>&nbsp;</p><p>Filled with 100% biodegradable flower petals confetti, ready for little hands to pop.</p><p>&nbsp;</p><p>• Light pink delphiniums petals</p><p>• Petals sourced from a family-owned English farm</p><p>•</p>",https://static.wixstatic.com/media/79430e_bda1339a2a1e4a00ba9a899431405282~mv2.jpeg,https://www.sugargirleeco.com/product-page/first-day-of-school-pencil-confetti-popper,PO-01-FI,14,In Stock
Lace Flower Confetti,"<p>Sustainably grown, natural petals picked by hand on a family-owned, English farm.</p><p>&nbsp;</p><ul>	<li>Eco-friendly and 100% biodegradable.</li>	<li>Delphiniums petals • To preserve color, keep away from light and moisture</li>	<li>Mini Packs: Packaged in 3 x 4"" cello bag, 1 handful&nbsp;</li></ul>",https://static.wixstatic.com/media/79430e_54fbd5e146694880999fced6dcd82bbb~mv2.jpeg,https://www.sugargirleeco.com/product-page/lace-flower-confetti,"FC-02-LA
",6,In Stock
Blushing Flower Confetti,"<p>Sustainably grown, natural petals picked by hand on a family-owned, English farm.</p><p>&nbsp;</p><ul>	<li>Eco-friendly and 100% biodegradable.</li>	<li>Delphiniums petals • To preserve color, keep away from light and moisture</li>	<li>Mini Packs: Packaged in 3 x 4"" cello bag, 1 handful&nbsp;</li></ul>",https://static.wixstatic.com/media/79430e_46690313b8cd48b7b1af5b8b516ebc1b~mv2.jpeg,https://www.sugargirleeco.com/product-page/blushing-flower-confetti,"FC-01-BL
",6,In Stock
Bouquet Flower Confetti,"<p>Sustainably grown, natural petals picked by hand on a family-owned, English farm.</p><p>&nbsp;</p><ul>	<li>Eco-friendly and 100% biodegradable.</li>	<li>Delphiniums petals • To preserve color, keep away from light and moisture</li>	<li>Mini Packs: Packaged in 3 x 4"" cello bag, 1 handful&nbsp;</li></ul>",https://static.wixstatic.com/media/79430e_743ef1be823b442d98d4c54c6a8067d7~mv2.jpeg,https://www.sugargirleeco.com/product-page/bouquet-flower-confetti,"FC-02-BO
",6,In Stock
Candy Classic Mini Balloons,"<p>Our favorite balloons in mini form!</p><p>High quality, 100% biodegradable balloons that perfectly coordinate with our Classic Balloons and Artisan Confetti.</p><p>&nbsp;</p><p>• 36 balloons</p><p>• 5"" diameter, sourced from North America</p>",https://static.wixstatic.com/media/79430e_e771daa957f04d68bd4cc8c40ba89495~mv2.jpeg,https://www.sugargirleeco.com/product-page/candy-classic-mini-balloons,"CB-01-CA
",16,In Stock
Manifesting Mug,"<p>Whether you're drinking your morning coffee, evening tea, or something in between – this mug's for you! It's sturdy and glossy with a vivid print that'll withstand the microwave and dishwasher.<br><br>• Ceramic<br>• Dishwasher and microwave safe<br>• White and glossy</p><p>&nbsp;</p><p>Designed by: Sugargirlee &amp; Co.</p>",https://static.wixstatic.com/media/79430e_29edbcb1df3f428c94b1d0667e434c3d~mv2.jpg,https://www.sugargirleeco.com/product-page/manifesting-mug,5F26F9006734B_1320,18,In Stock
Black Face Mask,<p>Social Distance Stylishly and Celebrate Safely with our Fashionable Face Masks!</p><p>Reusable Comfy Breathable Material: 100 % Cotton.</p><p>Made in USA</p><p>Masks are not FDA Approved and are not a replacement for medical-grade N95 masks or PPE but are meant to bridge the gap.</p>,https://static.wixstatic.com/media/79430e_6e2405c297b7415ba6ec0e73b13a566b~mv2.jpeg,https://www.sugargirleeco.com/product-page/black-face-mask,MC3222-black,10,In Stock
Camouflage Face Mask,<p>Social Distance Stylishly and Celebrate Safely with our Fashionable Face Masks! Reusable Comfy Breathable Materials: 88% Polyester 9% Rayon 3% Spandex</p><p>Made in USA</p><p>Masks are not FDA Approved and are not a replacement for medical-grade N95 masks or PPE but are meant to bridge the gap.</p>,https://static.wixstatic.com/media/79430e_a91b73f2164e47d992838579567b4316~mv2.jpeg,https://www.sugargirleeco.com/product-page/camouflage-face-mask,"5221-army
",12,In Stock
Pink Ombre Glitter Candles,<p>No one wants to blow out boring candles. The varying shades of pink on these fun candles get an added pop with glitter.</p><p>&nbsp;</p><p>Includes 12 candles.</p>,https://static.wixstatic.com/media/79430e_63c1b46d031644c9b7b296f86f4a4d48~mv2.jpeg,https://www.sugargirleeco.com/product-page/pink-ombre-glitter-candles,CAN-PNK-001,8,In Stock
No Prob Lama Set,"<p>Who doesn't love a llama? Whether you're throwing a kids birthday party or serving up margaritas for Cinco de Mayo, you'll have no prob llamas with this adorable Set. It has everything you need&nbsp;to delight guests of any age.</p><p>&nbsp;</p><p>Set Contains:</p><p>&nbsp;</p><p>Sunshine Yellow Classic Large Plate&nbsp;x 10 per pack</p><p>Happy Llama Small Plates x 10 per pack</p><p>White Brushstroke Cups x 10 per pack</p><p>Happy Llama Napkins x&nbsp;25 per pack&nbsp;</p><p>Metallic Gold Cutlery x 30 per pack&nbsp;</p><p>&nbsp;</p>",https://static.wixstatic.com/media/79430e_25a43767bac848a0bea627a4a33c4e8a~mv2.jpeg,https://www.sugargirleeco.com/product-page/no-prob-lama-set,NPL - 0001,50,In Stock
"Yes Way, Ombre Set","<p>A blend of elegant pastels is mingled to perfection in this ombre-themed pack. Ideal for any occasion, it includes playful gold accents and decagon plates for a taste of the unexpected. Who knew these shades could look so good together? (Hint: you did.)</p><p>&nbsp;</p><p>Pro Tip: The ombre pastels and iridescent touches make for a perfect unicorn-themed party.</p><p>&nbsp;</p><p>Set Contains:</p><p>&nbsp;</p><p>Yes Way, Ombre Large Plates x 10 per pack</p><p>Yes Way, Ombre Small Plates x 10 per pack</p><p>Pale Pink Pinstripe Cups x 10 per pack</p><p>Pale Pink Brushstroke Cocktail Napkins x&nbsp;25 per pack&nbsp;</p><p>Metallic Gold Cutlery x 30 per pack&nbsp;</p><p>Iridescent Paper Straws x&nbsp;25 per pack&nbsp;</p>",https://static.wixstatic.com/media/79430e_84cda571fb5843bf8433f4913db75e3f~mv2.jpg,https://www.sugargirleeco.com/product-page/yes-way-ombre-set,YWO - 0001,58,In Stock
Unicorn Dreams Set,"<p>What's cooler than a unicorn? Even more unicorns. This Set is a celebration of the mythical one-horned horse that will have guests galloping to your party just as fast they can.</p><p>&nbsp;</p><p>Set Contains:</p><p>&nbsp;</p><p>Yes Way, Ombre Large Plates x 10 per pack</p><p>Yes Way, Ombre Small Plates x 10 per pack</p><p>Unicorn Dreams Cups x 10 per pack</p><p>Pale Pink Brushstroke Cocktail Napkins x&nbsp;25 per pack&nbsp;</p><p>Pale Pink Wooden Cutlery Set x 30 per pack&nbsp;</p><p>Iridescent Paper Straws x&nbsp;25 per pack&nbsp;</p>",https://static.wixstatic.com/media/79430e_11081949085141f3b4c7cbf6e8b85bc4~mv2.jpg,https://www.sugargirleeco.com/product-page/unicorn-dreams-set,UD-001,69,In Stock
Toile of My Love Party Set,"<p>Transport your and your guests to the French Countryside with this Toile of my Love Set.</p><p>Whether your running through the lavendar fields or gathering friends in your backyard, you'll have everything you need to dine en plain air. Except for the baguette.</p><p>&nbsp;</p><p>Set Contains:</p><p>&nbsp;</p><p>French Toile Large Plates x 10 per pack</p><p>French Toile Small Plates x 10 per pack</p><p>French Toile Cups x 10 per pack</p><p>French Toile Cocktail Napkins x&nbsp;25 per pack&nbsp;</p><p>Metallic Gold Cutlery&nbsp;x 30 per pack&nbsp;</p><p>&nbsp;</p>",https://static.wixstatic.com/media/79430e_281202800326415b84814bba945556e7~mv2.jpeg,https://www.sugargirleeco.com/product-page/toile-of-my-love-party-set,TOML-001,50,In Stock
Fairytale Princess Party Set,<p>Turn make believe into reality with this magical Set. We thought of every detail so all you have to worry about is making sure that your little princess or prince has the time of their life.</p><p>&nbsp;</p><p>Set Contains:</p><p>&nbsp;</p><p>Fairytale Large Plates x 10 per pack</p><p>Fairytale Small Plates x 10 per pack</p><p>Pale Pink Pinstripe Cups x 10 per pack</p><p>Pale Pink Brushstroke Cocktail Napkins x&nbsp;25 per pack&nbsp;</p><p>Pale Pink Wooden Cutlery Set x 30 per pack&nbsp;</p><p>Iridescent Paper Straws x&nbsp;25 per pack&nbsp;</p>,https://static.wixstatic.com/media/79430e_289e553a64d049ceb9d6fd04af69f0fb~mv2.jpg,https://www.sugargirleeco.com/product-page/fairytale-princess-party-set,FP-001,65,In Stock
